Schema item,Kind,Data type,Extends,Restricts,Abstract,Subst Group,Comment,Namespace
eDensityStandard_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDescriptionType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDeviceCondition_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDeviceDetails_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDeviceOperationMode_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDeviceStatus_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDiffusion_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDigitalDeliveryDirection_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDigitalPrintingCollate_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDigitalPrintingPageDelivery_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDigitalPrintingPrintingQuality_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDigitalPrintingPrintingType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDigitalPrintingSheetLay_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDisjointingOffsetDirection_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDisposition_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
